Date,Value
2016-12-30,1160.62
2016-12-29,1148.6
2016-12-28,1141.59
2016-12-23,1132.57
2016-12-22,1132.57
2016-12-21,1141.59
2016-12-20,1132.57
2016-12-19,1141.89
2016-12-16,1138.58
2016-12-15,1134.57
2016-12-14,1169.63
2016-12-13,1163.62
2016-12-12,1164.12
2016-12-09,1168.63
2016-12-08,1175.34
2016-12-07,1181.15
2016-12-06,1174.14
2016-12-05,1170.03
2016-12-02,1176.65
2016-12-01,1170.64
2016-11-30,1183.66
2016-11-29,1186.36
2016-11-28,1191.47
2016-11-23,1196.68
2016-11-22,1217.72
2016-11-21,1216.71
2016-11-18,1215.71
2016-11-17,1227.73
2016-11-16,1228.73
2016-11-15,1225.73
2016-11-14,1219.72
2016-11-11,1260.79
2016-11-10,1280.62
2016-11-09,1305.87
2016-11-08,1284.33
2016-11-07,1289.84
2016-11-04,1307.87
2016-11-03,1295.85
2016-11-02,1300.36
2016-11-01,1290.84
2016-10-31,1276.31
2016-10-28,1274.51
2016-10-27,1273.06
2016-10-26,1275.06
2016-10-25,1270.2
2016-10-24,1273.31
2016-10-21,1269.8
2016-10-20,1273.81
2016-10-19,1272.81
2016-10-18,1261.79
2016-10-17,1255.78
2016-10-14,1254.03
2016-10-13,1261.29
2016-10-12,1258.28
2016-10-11,1258.79
2016-10-10,1264.04
2016-10-07,1264.8
2016-10-06,1259.29
2016-10-05,1274.81
2016-10-04,1295.85
2016-10-03,1315.88
2016-09-30,1330.91
2016-09-29,1320.89
2016-09-28,1327.9
2016-09-27,1331.91
2016-09-26,1343.93
2016-09-23,1338.92
2016-09-22,1339.92
2016-09-21,1327.4
2016-09-20,1316.88
2016-09-19,1317.89
2016-09-16,1312.88
2016-09-15,1320.39
2016-09-14,1322.89
2016-09-13,1329.91
2016-09-12,1327.9
2016-09-09,1337.92
2016-09-08,1346.43
2016-09-07,1353.45
2016-09-06,1337.42
2016-09-02,1325.9
2016-09-01,1311.88
2016-08-31,1310.37
2016-08-30,1320.89
2016-08-29,1322.89
2016-08-26,1331.91
2016-08-25,1323.9
2016-08-24,1332.91
2016-08-23,1347.94
2016-08-22,1344.93
2016-08-19,1344.93
2016-08-18,1352.95
2016-08-17,1349.94
2016-08-16,1349.94
2016-08-15,1340.92
2016-08-12,1355.95
2016-08-11,1349.94
2016-08-10,1354.95
2016-08-09,1338.92
2016-08-08,1339.92
2016-08-05,1350.44
2016-08-04,1366.47
2016-08-03,1363.46
2016-08-02,1366.47
2016-08-01,1351.44
2016-07-29,1349.94
2016-07-28,1343.93
2016-07-27,1334.91
2016-07-26,1324.9
2016-07-25,1323.9
2016-07-22,1326.9
2016-07-21,1319.89
2016-07-20,1319.89
2016-07-19,1331.91
2016-07-18,1333.41
2016-07-15,1331.91
2016-07-14,1324.9
2016-07-13,1343.93
2016-07-12,1348.94
2016-07-11,1356.95
2016-07-08,1355.95
2016-07-07,1361.96
2016-07-06,1372.98
2016-07-05,1351.94
2016-07-01,1338.92
2016-06-30,1322.89
2016-06-29,1324.9
2016-06-28,1317.89
2016-06-27,1329.91
2016-06-24,1332.91
2016-06-23,1266.8
2016-06-22,1269.8
2016-06-21,1277.82
2016-06-20,1284.83
2016-06-17,1295.85
2016-06-16,1315.88
2016-06-15,1286.83
2016-06-14,1291.84
2016-06-13,1289.84
2016-06-10,1276.82
2016-06-09,1262.79
2016-06-08,1261.29
2016-06-07,1241.76
2016-06-06,1247.77
2016-06-03,1242.76
2016-06-02,1214.71
2016-06-01,1219.72
2016-05-31,1215.21
2016-05-27,1218.72
2016-05-26,1234.24
2016-05-25,1224.73
2016-05-24,1242.76
2016-05-23,1246.76
2016-05-20,1260.79
2016-05-19,1248.77
2016-05-18,1270.81
2016-05-17,1276.82
2016-05-16,1288.84
2016-05-13,1271.81
2016-05-12,1277.82
2016-05-11,1277.82
2016-05-10,1264.8
2016-05-09,1275.81
2016-05-06,1288.84
2016-05-05,1285.83
2016-05-04,1287.83
2016-05-03,1297.85
2016-05-02,1297.85
2016-04-29,1287.83
2016-04-28,1259.79
2016-04-27,1252.78
2016-04-26,1245.76
2016-04-25,1237.75
2016-04-22,1245.76
2016-04-21,1272.81
2016-04-20,1253.78
2016-04-19,1256.78
2016-04-18,1241.76
2016-04-15,1230.74
2016-04-14,1237.75
2016-04-13,1249.77
2016-04-12,1262.79
2016-04-11,1253.78
2016-04-08,1235.75
2016-04-07,1239.75
2016-04-06,1223.22
2016-04-05,1237.75
2016-04-04,1224.73
2016-04-01,1220.72
2016-03-31,1241.76
2016-03-30,1235.75
2016-03-29,1231.74
2016-03-28,1225.73
2016-03-24,1224.73
2016-03-23,1224.73
2016-03-22,1254.78
2016-03-21,1247.77
2016-03-18,1256.78
2016-03-17,1269.8
2016-03-16,1231.74
2016-03-15,1234.74
2016-03-14,1254.78
2016-03-11,1269.8
2016-03-10,1266.8
2016-03-09,1253.78
2016-03-08,1274.81
2016-03-07,1272.81
2016-03-04,1266.8
2016-03-03,1244.76
2016-03-02,1237.75
2016-03-01,1243.76
2016-02-29,1233.74
2016-02-26,1229.74
2016-02-25,1229.74
2016-02-24,1247.77
2016-02-23,1222.72
2016-02-22,1210.7
2016-02-19,1230.74
2016-02-18,1209.7
2016-02-17,1210.7
2016-02-16,1215.71
2016-02-12,1239.75
2016-02-11,1242.76
2016-02-10,1190.67
2016-02-09,1198.68
2016-02-08,1187.66
2016-02-05,1150.6
2016-02-04,1157.61
2016-02-03,1131.57
2016-02-02,1130.57
2016-02-01,1125.56
2016-01-29,1116.54
2016-01-28,1122.55
2016-01-27,1120.55
2016-01-26,1116.54
2016-01-25,1109.53
2016-01-22,1096.51
2016-01-21,1102.52
2016-01-20,1102.52
2016-01-19,1090.5
2016-01-18,1092.5
2016-01-15,1096.51
2016-01-14,1086.49
2016-01-13,1087.49
2016-01-12,1089.5
2016-01-11,1105.53
2016-01-08,1105.02
2016-01-07,1105.53
2016-01-06,1090.5
2016-01-05,1077.98
2016-01-04,1080.48
2015-12-31,1063.95
2015-12-30,1063.45
2015-12-29,1074.47
2015-12-28,1073.47
2015-12-23,1072.47
2015-12-22,1075.47
2015-12-21,1075.47
2015-12-18,1061.45
2015-12-17,1062.45
2015-12-16,1076.48
2015-12-15,1065.46
2015-12-14,1074.97
2015-12-11,1066.46
2015-12-10,1074.97
2015-12-09,1086.49
2015-12-08,1077.48
2015-12-07,1083.49
2015-12-04,1075.47
2015-12-03,1057.44
2015-12-02,1061.45
2015-12-01,1071.47
2015-11-30,1064.46
2015-11-25,1074.47
2015-11-24,1079.48
2015-11-23,1074.47
2015-11-20,1084.49
2015-11-19,1074.47
2015-11-18,1070.97
2015-11-17,1081.48
2015-11-16,1088.5
2015-11-13,1083.49
2015-11-12,1077.48
2015-11-11,1090.5
2015-11-10,1090.5
2015-11-09,1093.5
2015-11-06,1087.49
2015-11-05,1113.54
2015-11-04,1122.55
2015-11-03,1127.56
2015-11-02,1138.58
2015-10-30,1146.59
2015-10-29,1154.61
2015-10-28,1177.65
2015-10-27,1165.63
2015-10-26,1168.63
2015-10-23,1175.64
2015-10-22,1168.63
2015-10-21,1177.65
2015-10-20,1175.64
2015-10-19,1179.15
